state,state_code,district,collector,latitude,longitude,project_id,project_name,project_type,total_parcels,total_area_acres,affected_families,acquisition_status,completion_percentage,compensation_assessed,compensation_disbursed_pct,legal_disputes,notification_date,award_date,possession_date,rr_affected_families,rr_completed_families,rr_completion_pct
Tamil Nadu,TN,Chennai,Dr. Supradeep Elangeni,13.112297545259112,80.16750559213274,TN-01-01,Chennai Power Plant Phase 1,Power Plant,30,67.0,117,Possessed,78.6,35022516.67,22.9,2,2026-02-26,2026-07-03,2026-09-07,112,47,20.1
Tamil Nadu,TN,Chennai,Dr. Supradeep Elangeni,13.090126929489672,80.25028350559263,TN-01-02,Chennai Power Plant Phase 2,Power Plant,28,139.21,44,Pending,17.6,42364199.05,23.6,2,2026-06-01,,,140,73,57.3
Tamil Nadu,TN,Coimbatore,Dr. Sudha Sadasivam,10.876115477895585,77.084565661176,TN-02-01,Coimbatore Industrial Corridor Phase 1,Industrial Corridor,25,187.43,38,Awarded,33.6,15957975.13,30.8,3,2025-11-04,2026-07-21,,102,90,40.7
Tamil Nadu,TN,Coimbatore,Dr. Sudha Sadasivam,11.020613083802983,76.85535633665766,TN-02-02,Coimbatore Power Plant Phase 2,Power Plant,29,181.77,43,Notified,61.6,58636319.75,9.8,3,2026-01-17,,,64,91,63.2
Tamil Nadu,TN,Madurai,V. Anbuchezhiyan,9.857999754606762,78.05868205171122,TN-03-01,Madurai Railway Phase 1,Railway,24,62.67,100,Possessed,68.6,40404088.84,45.5,2,2026-05-06,2026-04-11,2026-08-05,59,42,68.5
Tamil Nadu,TN,Madurai,V. Anbuchezhiyan,10.034131027762678,78.15678943804826,TN-03-02,Madurai Railway Phase 2,Railway,13,66.22,91,Notified,29.3,34510999.32,21.9,2,2026-06-21,,,89,110,97.7
Tamil Nadu,TN,Salem,Suki Eswaran,11.745590153986369,78.14413867890931,TN-04-01,Salem Water Supply Phase 1,Water Supply,20,170.81,119,Awarded,64.9,16525147.6,19.7,0,2026-06-04,2026-05-21,,28,38,38.3
Tamil Nadu,TN,Salem,Suki Eswaran,11.701606214440138,78.08469010575132,TN-04-02,Salem Water Supply Phase 2,Water Supply,32,198.15,57,Awarded,90.4,28106426.23,47.5,2,2026-03-20,2026-05-25,,113,138,38.2
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.489680852212476,83.22279892103103,AP-01-01,Visakhapatnam Expressway Sector 1,Expressway,23,196.66,95,Awarded,83.9,40205925.03,27.7,2,2026-03-03,2026-05-26,,219,122,20.2
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.685799402356956,83.13885132392672,AP-01-02,Visakhapatnam Railway Sector 2,Railway,31,309.5,231,Possessed,35.1,65717325.05,51.7,5,2025-09-01,2026-04-23,2026-08-21,165,139,57.5
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.755754218962352,83.32314784613149,AP-01-03,Visakhapatnam Railway Sector 3,Railway,41,143.28,82,Possessed,34.4,47583734.95,63.8,5,2025-12-13,2026-04-08,2026-06-04,240,133,55.7
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.39429641902622,80.73245981297521,AP-02-01,Vijayawada SEZ Hub Sector 1,SEZ Hub,33,166.71,243,Possessed,41.1,33077482.18,69.3,7,2026-07-02,2026-06-09,2026-09-08,50,229,73.8
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.409376651086063,80.71199361841367,AP-02-02,Vijayawada Railway Sector 2,Railway,40,306.08,104,Possessed,85.2,39562188.11,97.7,5,2026-03-23,2026-07-24,2026-08-08,48,242,42.9
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.661308039504384,80.788371379507,AP-02-03,Vijayawada Port Expansion Sector 3,Port Expansion,31,125.56,210,Possessed,47.4,70174119.1,59.0,7,2026-05-03,2026-03-30,2026-06-08,185,137,39.4
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.083607723784224,79.942971688539,AP-03-01,Tirupati Railway Sector 1,Railway,15,198.66,92,Awarded,67.2,75986855.38,65.4,6,2026-01-27,2026-04-07,,167,42,58.4
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.091495857351632,80.04730422190097,AP-03-02,Tirupati Port Expansion Sector 2,Port Expansion,27,197.08,52,Notified,36.2,67335396.95,78.9,5,2026-05-05,,,67,120,54.4
