state,state_code,district,collector,latitude,longitude,project_id,project_name,project_type,total_parcels,total_area_acres,land_area_acres,affected_families,acquisition_status,project_status,completion_percentage,possession_acquired_pct,compensation_assessed,compensation_disbursed_pct,compensation_pending_families,legal_disputes,legal_disputes_count,approval_days_passed,approval_days_total,pending_approvals,documentation_complete_pct,rehabilitation_progress_pct,rr_affected_families,rr_completed_families,rr_completion_pct,stakeholder_responsiveness_score,inter_dept_coordination_score,past_project_success_rate,district_avg_delay_days,notification_date,award_date,possession_date
Tamil Nadu,TN,Chennai,Dr. Supradeep Elangeni,13.090126929489672,80.25028350559263,TN-01-01,Chennai Power Plant Phase 1,Power Plant,30,174.44,174.44,50,Possessed,Active,91.0,100.0,18384694.74,94.6,3,3,3,429,429,0,100.0,80.0,50,40,80.0,6,7,0.86,42,2025-09-08,2026-05-19,2026-08-28
Tamil Nadu,TN,Chennai,Dr. Supradeep Elangeni,13.205496120623636,80.19833399448001,TN-01-02,Chennai Highway Phase 2,Highway,14,117.98,117.98,44,Notified,Active,60.8,35.8,20860326.84,40.4,26,3,3,128,339,2,65.3,69.7,39,27,69.7,6,7,0.92,19,2026-03-15,,
Tamil Nadu,TN,Coimbatore,Dr. Sudha Sadasivam,11.032625349699154,77.08947659217924,TN-02-01,Coimbatore Power Plant Phase 1,Power Plant,15,138.41,138.41,135,Notified,Active,40.5,47.1,20309550.12,49.1,69,6,6,167,264,3,83.8,91.9,125,115,91.9,7,7,0.77,37,2026-05-29,,
Tamil Nadu,TN,Coimbatore,Dr. Sudha Sadasivam,11.043589438048269,76.8991694074558,TN-02-02,Coimbatore Power Plant Phase 2,Power Plant,12,73.96,73.96,44,Notified,Active,35.5,33.8,58740430.08,32.7,30,0,0,200,385,3,70.9,89.1,41,37,89.1,4,3,0.94,-7,2026-04-10,,
Tamil Nadu,TN,Madurai,V. Anbuchezhiyan,10.047469942177829,78.04458766874465,TN-03-01,Madurai Industrial Corridor Phase 1,Industrial Corridor,12,158.38,158.38,64,Awarded,Active,74.6,81.2,16525147.6,89.0,7,4,4,214,389,0,94.4,86.7,56,49,86.7,3,6,0.85,-12,2025-10-23,2026-07-15,
Tamil Nadu,TN,Madurai,V. Anbuchezhiyan,9.85683967481539,78.1641070361624,TN-03-02,Madurai Industrial Corridor Phase 2,Industrial Corridor,43,84.52,84.52,42,Notified,Active,53.0,50.8,63220324.61,40.8,25,3,3,253,277,1,77.5,85.7,38,33,85.7,4,6,0.79,17,2026-04-11,,
Tamil Nadu,TN,Salem,Suki Eswaran,11.663474551767717,78.08626349294504,TN-04-01,Salem Highway Phase 1,Highway,17,196.32,196.32,132,Awarded,Active,77.8,65.6,28125853.17,69.6,40,0,0,258,417,0,86.6,20.2,120,24,20.2,4,6,0.76,23,2025-09-23,2026-07-18,
Tamil Nadu,TN,Salem,Suki Eswaran,11.809326942268454,78.11564733273336,TN-04-02,Salem Highway Phase 2,Highway,13,95.35,95.35,31,Possessed,Active,94.1,100.0,44367165.62,90.3,3,3,3,332,332,0,100.0,87.4,27,24,87.4,3,8,0.8,36,2025-08-27,2026-05-24,2026-08-29
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.599621486221317,83.23093439214827,AP-01-01,Visakhapatnam Expressway Sector 1,Expressway,40,201.8,201.8,252,Pending,Pending,31.5,4.4,33077482.18,4.9,240,0,0,140,398,6,54.9,56.4,229,129,56.4,2,4,0.79,9,2026-08-02,,
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.772502195334184,83.26919647641428,AP-01-02,Visakhapatnam Railway Sector 2,Railway,13,235.2,235.2,134,Notified,Active,64.9,39.5,74446675.92,49.0,68,2,2,218,396,1,82.7,47.4,131,62,47.4,3,6,0.72,-8,2026-06-03,,
Andhra Pradesh,AP,Visakhapatnam,V. Vinay Chand,17.612038545581676,83.24546125426816,AP-01-03,Visakhapatnam Port Expansion Sector 3,Port Expansion,40,296.83,296.83,197,Notified,Active,43.5,37.0,75986855.38,29.2,139,6,6,140,297,1,74.0,39.6,189,75,39.6,6,5,0.8,39,2026-04-05,,
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.36083698495866,80.77649556877631,AP-02-01,Vijayawada SEZ Hub Sector 1,SEZ Hub,32,289.34,289.34,71,Notified,Active,50.1,37.2,77641551.07,37.3,45,0,0,123,284,3,68.9,52.6,71,37,52.6,8,7,0.93,44,2026-04-12,,
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.619411921578386,80.72023058532626,AP-02-02,Vijayawada Expressway Sector 2,Expressway,44,215.9,215.9,232,Notified,Active,37.3,26.7,72202234.75,29.2,164,5,5,144,303,2,70.4,64.2,201,129,64.2,8,4,0.77,26,2026-04-06,,
Andhra Pradesh,AP,Vijayawada,Md. Imtiaz,16.52985946865227,80.62954223690542,AP-02-03,Vijayawada Expressway Sector 3,Expressway,40,245.96,245.96,83,Pending,Pending,17.4,5.1,67092081.12,6.3,78,3,3,51,256,4,51.4,71.2,79,56,71.2,5,4,0.79,12,2026-06-22,,
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.206090536483032,79.89932897044946,AP-03-01,Tirupati Port Expansion Sector 1,Port Expansion,33,209.38,209.38,169,Notified,Active,52.7,21.3,77749516.48,20.9,134,3,3,220,257,3,81.5,51.6,168,87,51.6,8,7,0.75,14,2026-04-19,,
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.19890887722797,79.90523339855004,AP-03-02,Tirupati Industrial Corridor Sector 2,Industrial Corridor,41,303.3,303.3,150,Pending,Pending,11.0,8.7,50671470.83,6.0,141,1,1,53,339,5,56.0,50.4,148,75,50.4,2,6,0.77,0,2026-06-20,,
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.238832104792829,79.7225176772591,AP-03-03,Tirupati SEZ Hub Sector 3,SEZ Hub,37,182.31,182.31,120,Awarded,Active,73.9,60.4,72774339.45,81.5,22,3,3,293,489,0,86.5,76.1,102,78,76.1,7,6,0.75,14,2026-01-04,2026-06-25,
